PERFUME,LINHA,GENERO,FAMILIA,PERIODO,OCASIAO,ESTILO,ESTACAO,ORCAMENTO,INTENSIDADE
Her Code Touch,HER CODE,F,Chypre Frutal,Noite,Dia / Eventos Formais,Luxuosa / Marcante,Inverno / Outono,maior que 200,leve/ alta
Glamour Fever,GLAMOUR,F,Oriental Frutal,Noite,Jantar / Noite,Misteriosa / Sensual,Inverno / Outono,menor que 200,moderada
Linda Irresistivel,LINDA,F,Floral Bouquet,Versatil,Ocasiões Especiais / Noite,Sofisticada / Romântica,Todas as estações,menor que 200,leve/ alta
Glamour,GLAMOUR,F,Floriental Frutal,Dia,Noite / Encontros,Sedutora / Romântica,Todas as estações,menor que 200,leve/ alta
Glamour Myriad,GLAMOUR,F,Floral Ambarado,Versatil,Noite / Especial,Sofisticada / Moderna,Todas as estações,menor que 200,leve/ alta
Accordes,ACCORDES,F,Amadeirado Gourmand,Dia,Noite / Intimo,Sensual / Empoderada,Todas as estações,maior que 200,leve/ alta
Glamour Midnight,GLAMOUR,F,Floriental Frutal,Noite,Dia / Tarde,Alegre / Criativa,Inverno / Outono,menor que 200,moderada
Elysée,ELYSEE,F,Floral Frutal,Noite,Dia / Tarde,Sofisticada / Romântica,Todas as estações,maior que 200,moderada
Elysée Blanc,ELYSEE,F,Floral Fresco,Versatil,Dia / Trabalho,Delicada / Elegante,Todas as estações,maior que 200,moderada
Elysée Succès,ELYSEE,F,Floral Fresco,Noite,Dia / Trabalho,Delicada / Elegante,Inverno / Outono,maior que 200,moderada
Elysée Nuit,ELYSEE,F,Floral Fresco,Noite,Dia / Trabalho,Delicada / Elegante,Inverno / Outono,maior que 200,moderada
Glamour Novo,GLAMOUR,F,Floral Bouquet,Dia,Ocasiões Especiais / Noite,Sofisticada / Romântica,Todas as estações,menor que 200,leve/ alta
Liz,LIZ,F,Oriental Gourmand,Versatil,Passeios / Festas,Sedutora / Doce,Todas as estações,menor que 200,leve/ alta
Liz Intenso,LIZ,F,Lavanda Aromática,Noite,Pós-banho / Relaxar,Jovem / Despojada,Inverno / Outono,menor que 200,leve/ alta
Liz Sublime,LIZ,F,Floral Musk,Dia,Trabalho / Dia,Clássica / Confortável,Todas as estações,menor que 200,moderada
